method_of_probability_assignment;czas obliczeñ;najwiêksza liczba u¿ytych wyrazów;iteracja uzyskania nalepszego wyniku;œrednie wykorzystanie s³ów przy odnalezieniu najlepszego rozwi¹zania
1;111.32286958694458;479.3;91.13333333333334;403.97933333333333
2;110.71454503536225;486.6666666666667;62.96666666666667;448.2443333333334
