Numer iteracji;compensation_coef = 0.5;compensation_coef = 0.7;compensation_coef = 0.8;compensation_coef = 0.85;compensation_coef = 0.9;compensation_coef = 0.92;compensation_coef = 0.95;compensation_coef = 0.97;compensation_coef = 0.98;compensation_coef = 0.99;;Numer iteracji;compensation_coef = 0.5;compensation_coef = 0.7;compensation_coef = 0.8;compensation_coef = 0.85;compensation_coef = 0.9;compensation_coef = 0.92;compensation_coef = 0.95;compensation_coef = 0.97;compensation_coef = 0.98;compensation_coef = 0.99
30;264.264;264.538;263.08699999999993;263.24899999999997;263.188;262.474;264.928;263.11600000000004;264.21400000000006;263.385;;30;296.3;296.3;296.0;296.3;296.7;296.0;296.8;296.8;295.9;296.4
31;263.727;263.821;264.234;264.221;263.798;265.3570000000001;264.128;263.63;263.48400000000004;265.4820000000001;;31;296.7;296.3;296.4;296.4;296.8;296.5;296.7;296.8;296.8;296.0
32;263.6259999999999;264.104;264.178;263.484;264.525;263.491;264.006;263.8469999999999;263.33900000000006;264.64;;32;295.7;296.7;295.8;296.0;296.3;296.4;297.2;296.4;297.2;295.9
33;264.37;264.16700000000003;263.457;264.74999999999994;264.352;262.63699999999994;264.615;263.554;264.669;264.621;;33;297.0;296.2;296.8;296.0;296.8;295.9;296.0;296.3;296.0;296.2
34;264.991;263.20300000000003;264.36899999999997;264.662;264.6909999999999;263.588;263.69800000000004;264.53900000000004;264.76599999999996;263.437;;34;296.2;295.2;296.7;297.0;296.7;296.0;296.8;296.0;297.0;296.4
35;263.55111111111114;263.81100000000004;265.59444444444443;264.828;265.3422222222223;264.19;264.881;264.13;264.6766666666666;264.6455555555556;;35;296.22222222222223;296.4;296.8888888888889;295.9;296.44444444444446;295.8888888888889;296.8;296.2;296.0;295.8888888888889
36;265.0788888888889;264.87199999999996;264.8125;265.6744444444445;264.7733333333333;263.5185714285714;264.09200000000004;265.921;264.80625;264.9977777777778;;36;296.44444444444446;297.1;296.375;296.77777777777777;297.1111111111111;295.85714285714283;296.4;296.3;296.5;295.77777777777777
37;264.4311111111111;264.138;266.02428571428567;265.10777777777776;264.52;266.14166666666665;264.90099999999995;264.977;265.37714285714287;265.36222222222216;;37;295.77777777777777;296.7;296.57142857142856;296.8888888888889;296.375;296.6666666666667;296.2;296.0;296.42857142857144;296.44444444444446
38;264.94888888888886;264.72499999999997;265.37142857142857;265.07222222222225;264.71750000000003;264.56;263.64700000000005;264.96777777777777;264.63;265.1788888888889;;38;295.6666666666667;296.7;296.0;296.44444444444446;296.375;295.8333333333333;296.4;297.22222222222223;297.0;296.3333333333333
39;264.5133333333333;265.41499999999996;263.4642857142857;264.64000000000004;265.15200000000004;264.39166666666665;265.642;264.8311111111111;265.1842857142857;265.43625;;39;295.6666666666667;296.5;296.57142857142856;296.0;296.0;296.0;297.6;296.0;297.0;295.875
40;265.4533333333334;265.99;263.9542857142857;265.13124999999997;265.3675;264.50666666666666;264.75888888888886;265.00888888888886;265.98833333333334;263.7385714285714;;40;296.44444444444446;296.25;296.0;296.5;296.0;296.5;296.0;295.8888888888889;296.6666666666667;296.0
41;265.00444444444446;265.95285714285717;266.04571428571427;264.9728571428571;264.4875;264.7733333333333;264.9625;265.18499999999995;264.18333333333334;267.17333333333335;;41;296.0;297.0;296.0;296.57142857142856;296.0;297.3333333333333;295.875;296.0;296.5;296.6666666666667
42;265.025;265.0683333333333;265.42285714285714;265.00714285714287;264.9275;264.478;264.495;266.2385714285714;266.145;266.085;;42;296.125;296.0;295.7142857142857;296.57142857142856;295.75;296.8;297.0;297.57142857142856;297.1666666666667;296.6666666666667
43;265.79875000000004;266.2666666666667;264.79200000000003;266.10166666666663;265.01;265.97249999999997;266.03249999999997;265.2300000000001;265.98199999999997;266.255;;43;296.5;296.6666666666667;296.0;296.0;296.0;297.0;296.0;297.7142857142857;297.6;296.0
44;264.27833333333336;266.4783333333333;265.06600000000003;265.33166666666665;264.8275;264.275;267.415;265.74500000000006;267.3925;266.0;;44;297.1666666666667;296.5;295.8;296.0;297.0;296.0;297.0;296.3333333333333;296.0;296.0
45;265.436;266.384;266.64000000000004;266.04200000000003;265.25;263.9525;264.93333333333334;266.78833333333336;266.0233333333333;266.00666666666666;;45;296.8;297.6;297.3333333333333;296.0;297.0;296.0;295.6666666666667;295.6666666666667;296.0;296.0
46;265.5575;265.19800000000004;265.46999999999997;264.95;265.41333333333336;264.00666666666666;265.8533333333334;266.35;267.12;264.015;;46;296.0;295.6;297.3333333333333;295.75;295.6666666666667;297.0;295.6666666666667;297.6;296.0;295.5
47;266.2866666666667;265.195;264.465;266.81500000000005;263.38;265.58000000000004;264.78333333333336;266.288;263.2866666666667;267.225;;47;296.0;296.0;296.0;297.0;297.0;296.0;296.0;296.8;295.6666666666667;295.5
48;267.2233333333333;265.07;265.25;266.045;267.275;263.58;266.86666666666673;266.5875;266.71666666666664;262.96;;48;296.0;296.0;296.0;297.0;296.0;296.0;296.0;296.0;296.0;296.0
49;265.24666666666667;265.66499999999996;266.59;265.3825;268.52;264.38;266.3866666666667;265.82500000000005;266.83666666666664;266.52;;49;296.6666666666667;296.0;296.0;297.0;296.0;296.0;296.0;296.0;295.6666666666667;296.0
50;266.45;264.385;266.46500000000003;263.42;265.11;264.93;266.18;269.3066666666667;267.12;264.75;;50;295.6666666666667;296.0;298.0;300.0;296.0;296.0;296.0;297.3333333333333;298.3333333333333;296.0
